iso3,traffic_per_internet_user,year,gdppc,joyn
SGP,6.226117134,2024,132569.5252,x & y
LTU,6.170152664,2024,47165.36656,x & y
LUX,5.245841503,2024,128475.2798,x & y
NLD,4.925274372,2024,70498.88404,x & y
MLT,4.833381653,2024,62700.42279,x & y
DNK,4.738237858,2024,71431.29262,x & y
NZL,4.530739307,2024,49316.39994,x & y
AUS,4.473754883,2024,60303.98171,x & y
CYP,4.427212238,2024,52635.47656,x & y
NOR,4.378352642,2024,91105.2468,x & y
CHE,4.16756773,2024,82286.18019,x & y
EST,3.916674852,2024,41189.66753,x & y
ISL,3.908243179,2024,67310.05736,x & y
LVA,3.838277578,2024,37611.66994,x & y
CZE,3.783388853,2024,47963.89685,x & y
IRL,3.551514387,2024,119037.7312,x & y
BEL,3.5512743,2024,63347.78588,x & y
SWE,3.519217968,2024,62978.93905,x & y
SVN,3.474531651,2024,48648.90788,x & y
SVK,3.221849442,2024,40319.05472,x & y
AND,3.157382488,2024,65928.3072,x & y
PRT,3.080688477,2024,42197.20251,x & y
CAN,3.077826738,2024,56706.8238,x & y
AUT,3.027527332,2024,63788.07868,x & y
POL,2.974920511,2024,45153.04398,x & y
HRV,2.898346186,2024,42829.12225,x & y
GRC,2.88160944,2024,37474.27982,x & y
HUN,2.879086971,2024,40686.93193,x & y
ISR,2.815060377,2024,47338.84246,x & y
FIN,2.747553349,2024,56123.14796,x & y
DEU,2.741365433,2024,62554.55472,x & y
BGR,2.629737854,2024,34221.62373,x & y
FRA,2.626870394,2024,54799.34827,x & y
ESP,2.545563459,2024,48460.29141,x & y
ARE,2.49777627,2024,69701.8048,x & y
USA,2.459051371,2024,75489.26643,x & y
KOR,2.432698727,2024,55070.93862,x & y
MDA,2.339660168,2024,16376.61137,x & y
SRB,2.319905758,2024,26900.7834,x & y
PAN,2.316031218,2024,36394.91753,x & y
QAT,2.298075676,2024,110889.7927,x & y
GBR,2.253331661,2024,52621.17903,x & y
ECU,2.237068653,2024,13935.53911,x & y
PER,2.14936924,2024,15661.74977,x & y
CHL,2.104176283,2024,30182.78712,x & y
MCO,2.061271429,NA,NA,x
COL,2.023629665,2024,18477.21467,x & y
URY,2.007094383,2024,32038.77273,x & y
GEO,1.961872339,2024,24883.90812,x & y
SYC,1.824266553,2024,29241.7758,x & y
MUS,1.801636219,2024,28011.15798,x & y
ROU,1.790663481,2024,40503.97363,x & y
BHR,1.778727293,2024,58891.83049,x & y
CRI,1.719162345,2024,26973.43616,x & y
BRA,1.678824902,2024,19652.3655,x & y
ITA,1.67680943,2024,53265.00325,x & y
MKD,1.666464567,2024,24203.24434,x & y
ARM,1.582101107,2024,20078.7849,x & y
MYS,1.486987352,2024,34116.23178,x & y
MNE,1.465107679,2024,28105.6499,x & y
ALB,1.421517134,2024,21641.05315,x & y
JPN,1.388082862,2024,46106.92292,x & y
BIH,1.340634823,2024,20527.67694,x & y
UKR,1.322124004,2024,16319.84473,x & y
VNM,1.307749867,2024,14415.21595,x & y
ARG,1.302987337,2024,26771.96577,x & y
PRI,1.278278708,2024,44205.74949,x & y
HKG,1.260238528,2024,66153.97467,x & y
TUN,1.195137024,2024,12774.91586,x & y
BLZ,1.148260117,2024,12621.4082,x & y
OMN,1.138322353,2024,36721.08046,x & y
TUR,1.11960268,2024,36154.49044,x & y
MDV,1.067513585,2024,23034.40984,x & y
KEN,1.056171894,2024,5845.201177,x & y
DOM,0.9931449294,2024,24229.88949,x & y
SLV,0.9163467884,2024,11669.08171,x & y
BRN,0.899934113,2024,79071.73338,x & y
TTO,0.8777602911,2024,31960.15689,x & y
MEX,0.8698011041,2024,22039.6287,x & y
PAK,0.8551390171,2024,5500.323948,x & y
SAU,0.8247693777,2024,62792.77415,x & y
THA,0.8005552888,2024,21740.54032,x & y
BOL,0.7861545086,2024,11329.15181,x & y
BRB,0.7746833563,2024,21837.72541,x & y
BHS,0.7692225575,2024,36244.05001,x & y
PRY,0.7394275069,2024,16296.28362,x & y
ZAF,0.7339057922,2024,13597.65385,x & y
KWT,0.725573957,2024,46137.46743,x & y
LBN,0.7203815579,2023,11330.26874,x & y
MAR,0.7191489935,2024,9162.74707,x & y
GTM,0.6818701625,2024,12640.8875,x & y
JOR,0.6484146714,2024,9520.250645,x & y
JAM,0.6452962756,2024,11340.26388,x & y
KAZ,0.6358103752,2024,35973.96333,x & y
HND,0.6107723713,2024,6585.855357,x & y
SMR,0.5962866545,2023,70951.78959,x & y
PSE,0.5652080774,2024,3845.502974,x & y
LKA,0.5626813173,2024,13752.83674,x & y
IDN,0.5612130761,2024,14470.4372,x & y
IND,0.513595283,2024,9818.042707,x & y
AZE,0.5021332502,2024,22072.14912,x & y
PHL,0.49534446,2024,10375.94042,x & y
SUR,0.4796448648,2024,19179.10183,x & y
BLR,0.4609656334,2024,29040.97258,x & y
RUS,0.4329731166,2024,41704.71094,x & y
BGD,0.3961068094,2024,8486.784957,x & y
CIV,0.3750924468,2024,6747.037968,x & y
ZMB,0.3715714514,2024,3708.069043,x & y
EGY,0.3650079072,2024,16798.15158,x & y
DZA,0.3597688973,2024,15501.9197,x & y
LIE,0.3556133211,NA,NA,x
KHM,0.3428149819,2024,7008.889346,x & y
AGO,0.3331882358,2024,8901.887366,x & y
MNG,0.3287707865,2024,16842.65059,x & y
MAC,0.3257264495,2024,111693.5028,x & y
BWA,0.3243105114,2024,18068.50507,x & y
CPV,0.2712631226,2024,9848.952764,x & y
NPL,0.2535724938,2024,5046.81593,x & y
LCA,0.2443492115,2024,24252.46886,x & y
KGZ,0.2413894832,2024,7048.989521,x & y
UZB,0.2277330458,2024,10450.20514,x & y
UGA,0.1890658587,2024,2879.670093,x & y
GHA,0.1814304292,2024,7055.62496,x & y
MOZ,0.1791855842,2024,1500.314274,x & y
ETH,0.178118512,2024,2892.222202,x & y
SEN,0.1770709455,2024,4460.923722,x & y
NIC,0.1683241725,2024,7661.602027,x & y
RWA,0.1581624746,2024,3264.644515,x & y
LAO,0.1549790055,2024,8600.324547,x & y
DMA,0.1445673704,2024,18739.36404,x & y
GRD,0.1349128932,2024,17751.50987,x & y
ZWE,0.1324987561,2024,5215.253011,x & y
NRU,0.1145520732,2024,12468.76145,x & y
GUY,0.1142223775,2024,70516.72151,x & y
KNA,0.1132608503,2024,30656.44101,x & y
TON,0.1035338566,2023,7030.419174,x & y
BDI,0.09881144762,2024,1051.259313,x & y
ATG,0.09480680525,2024,29371.63778,x & y
FJI,0.09223331511,2024,13592.46359,x & y
CMR,0.0775033161,2024,4916.93354,x & y
TGO,0.074381046,2024,2960.775426,x & y
MDG,0.0647687614,2024,1657.049706,x & y
BEN,0.05802175403,2024,3901.325885,x & y
CHN,0.05197877064,2024,23845.61972,x & y
IRQ,0.05101003125,2024,12725.04313,x & y
NGA,0.04383553192,2024,7994.215639,x & y
GAB,0.04224633798,2024,18923.66166,x & y
FSM,0.03502645716,2024,3824.152344,x & y
BTN,0.02867459133,2023,14610.29591,x & y
VCT,0.02746308967,2024,18714.19885,x & y
STP,0.02526624873,2024,5491.298299,x & y
SLB,0.02324216627,2024,2353.248082,x & y
GMB,0.0206214916,2024,3057.684177,x & y
SWZ,0.01952955499,2024,10380.39666,x & y
TZA,0.01603237912,2024,3713.262939,x & y
HTI,0.01451702509,2024,2809.645356,x & y
COD,0.0138273593,2024,1602.07498,x & y
TUV,0.01249868702,2023,5812.399245,x & y
LSO,0.01218540128,2024,2640.285446,x & y
COM,0.01164077595,2024,3482.53486,x & y
WSM,0.0112020839,2024,7686.249426,x & y
MWI,0.01038518921,2024,1634.246603,x & y
PNG,0.008615646511,2024,4288.52829,x & y
TLS,0.008559728973,2024,3890.957634,x & y
DJI,0.006621994078,2024,6871.124405,x & y
VUT,0.004429430701,2024,3172.047728,x & y
MLI,0.004232334439,2024,2916.185295,x & y
BFA,0.00396637572,2024,2547.672329,x & y
GNQ,0.002163578523,2024,15454.42849,x & y
CAF,0.002128399676,2024,1111.219416,x & y
KIR,0.00157705124,2024,3257.136291,x & y
LBR,0.001510826522,2024,1646.058614,x & y
GIN,0.00102444971,2024,4016.341914,x & y
MRT,0.000637,2024,6482.690167,x & y
NER,0.000576,2024,1803.43693,x & y
GNB,0.000364,2024,2744.27981,x & y
ERI,0.000327,NA,NA,x
TCD,0.000129,2024,2412.865855,x & y
ABW,NA,2024,44558.92876,y
AFG,NA,2023,1983.81262,y
BMU,NA,2024,109311.9369,y
COG,NA,2024,6181.470716,y
CUW,NA,2024,28762.05818,y
CYM,NA,2023,79675.85685,y
FRO,NA,2024,72059.58033,y
GRL,NA,2023,71037.53722,y
IRN,NA,2024,17484.13201,y
LBY,NA,2024,12583.83387,y
MHL,NA,2024,7209.26655,y
MMR,NA,2024,5276.29434,y
NAM,NA,2024,10281.33564,y
PLW,NA,2023,16425.97227,y
SDN,NA,2024,1861.397949,y
SLE,NA,2024,3098.762906,y
SOM,NA,2024,1409.334922,y
SXM,NA,2024,47303.19476,y
TCA,NA,2024,33390.52671,y
TJK,NA,2024,4755.932967,y
TKM,NA,2024,18662.2988,y
XKX,NA,2024,15716.29256,y